lagoslakeid,lake_nhdid,lake_reachcode,lake_namegnis,lake_namelagos,lake_county,lake_countyfips,lake_lat_decdeg,lake_lon_decdeg,lake_centroidstate,nhdhr_area_sqkm,nhdhr_fdate,nhdhr_gnisid,lagosus_legacysiteid,lagosus_legacysitelabel,lagosus_legacyprogram,wqp_monitoringlocationidentifier,wqp_monitoringlocationname,wqp_providername,nhdplusv2_comid,nhdplusv2_reachcode,nhdplusv2_area_sqkm,lagosne_lagoslakeid,lagosne_legacysiteid,nla2007_siteid,nla2012_siteid,nhdplusv2_lakes_n,lagosne_lakes_n,wqp_sites_n,lagosus_legacyids_n
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483538093100001,RAINY LK AT BLACK BAY NR IS VIEW NR INT FALLS MN,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483538093100001,RAINY LK AT BLACK BAY NR IS VIEW NR INT FALLS MN,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483538093100001,RAINY LK AT BLACK BAY NR IS VIEW NR INT FALLS MN,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483538093100001,RAINY LK AT BLACK BAY NR IS VIEW NR INT FALLS MN,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483549093033001,"RAINY LAKE, SOUTH SIDE, NEAR DIAMOND ISLAND",NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483549093033001,"RAINY LAKE, SOUTH SIDE, NEAR DIAMOND ISLAND",NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483549093033001,"RAINY LAKE, SOUTH SIDE, NEAR DIAMOND ISLAND",NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483549093033001,"RAINY LAKE, SOUTH SIDE, NEAR DIAMOND ISLAND",NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483615093054001,RAINY LAKE NEAR DOVE BAY,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483615093054001,RAINY LAKE NEAR DOVE BAY,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483615093054001,RAINY LAKE NEAR DOVE BAY,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483615093054001,RAINY LAKE NEAR DOVE BAY,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483622092560701,"RAINY LK AT BRULE NARROWS NR INTERNTNL FALLS, MN",NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483622092560701,"RAINY LK AT BRULE NARROWS NR INTERNTNL FALLS, MN",NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483622092560701,"RAINY LK AT BRULE NARROWS NR INTERNTNL FALLS, MN",NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483622092560701,"RAINY LK AT BRULE NARROWS NR INTERNTNL FALLS, MN",NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483713093035201,RAINY LAKE EAST OF DRYWOOD ISLAND,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483713093035201,RAINY LAKE EAST OF DRYWOOD ISLAND,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483713093035201,RAINY LAKE EAST OF DRYWOOD ISLAND,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483713093035201,RAINY LAKE EAST OF DRYWOOD ISLAND,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-100,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-100,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-100,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-100,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-103,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-103,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-103,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-103,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-110,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-110,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-110,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-110,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-111,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-111,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-111,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-111,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-112,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-112,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-112,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-112,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-113,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-113,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-113,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-113,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-114,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-114,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-114,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-114,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-116,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-116,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-116,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-116,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-117,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-117,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-117,RAINY,STORET,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-117,RAINY,STORET,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-118,RAINY,STORET,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,MNPCA-69-0694-00-118,RAINY,STORET,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
